Supply_ID,Product_Desc,Qty,Source,Dest
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ00P2U24729,ENG NO:F177A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ07P2U24808,ENG NO:F020A939,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ08P2U24123,ENG NO:F005A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ04P2U24345,ENG NO:F099A939,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ05P2U24998,ENG NO:F167A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ00P2U23936,ENG NO:F104A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ01P2U23833,ENG NO:F205A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ05P2U24158,ENG NO:F116A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ04P2U25091,ENG NO:F187A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ00P2U23905,ENG NO:F040A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ01P2U24349,ENG NO:F096A939,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ02P2U25266,ENG NO:F047A940,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ03P2U24952,ENG NO:F152A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ05P2U24967,ENG NO:F049A939,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ06P2U24881,ENG NO:F139A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ08P2U23893,ENG NO:F091A937,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ02P2U23677,ENG NO:F100A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ03P2U23817,ENG NO:F120A938,NEW MOTOR CAR",1,United Kingdom,India
87038030,PORSCHE TAYCAN TURBO CROSS TURISMO CHASSIS NO WP0ZBPY1XPSA66418 AND MOTOR NO EBG107187-EBE035719 NEW CAR WITH ELECTRIC M,1,Germany,India
95030099,NON ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  FACE ACCESSORIES FOR TOY CAR,567,China,India
95030099,NON ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  GEARBOX FOR TOY CAR,225,China,India
87038030,PORSCHE TAYCAN TURBO CROSS TURISMO CHASSIS NO WP0ZBPY18PSA66451 AND MOTOR NO EBG108336-EBE036196 NEW CAR WITH ELECTRIC M,1,Germany,India
87038030,PORSCHE TAYCAN TURBO CHASSIS NO WP0ZBPY11PSA50642 AND MOTORNO EBG107945-EBE036062 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  REMOTE FOR TOY CAR,250,China,India
95030099,NON ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  ACCESSORIES FOR TOY CAR,225,China,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  ACCESSORIES FOR TOY CAR,2034,China,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  BATTERY CONNECTOR FOR TOY CAR,400,China,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  BOTTOM FOR TOY CAR,350,China,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  BODY PART FOR TOY CAR,600,China,India
95030099,NON ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  BODY PART FOR TOY CAR,225,China,India
87038030,PORSCHE TAYCAN CHASSIS NO WP0ZBPY19PSA02807 AND MOTOR NO EBF110032 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
87038030,PORSCHE TAYCAN TURBO CHASSIS NO WP0ZBPY17PSA50628 AND MOTORNO EBG107577-EBE035866 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
87038030,PORSCHE TAYCAN CHASSIS NO WP0ZBPY16PSA02666 AND MOTOR NO EBF108456 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
87038030,PORSCHE TAYCAN GTS CHASSIS NO WP0ZBPY16PSA44433 AND MOTOR NOEBG107172-EBE035731 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
87038030,AUDI RS E-TRON GT CHASSIS NO WAUZBPFW0P7902443 AND ENG NO EBE034046-EBG103252 NEW CAR WITH ELECTRIC MOTOR,1,Germany,India
95030099,NON ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  PACKING BLISTER FOR TOY CAR,225,China,India
85044030,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  CHARGER FOR TOY CAR R-41223891,250,China,India
95030091,ELECTRIC  SPARE PARTS / ACCESSORIES / COMPONENT  INNER PART FOR TOY CAR,100,China,India
95030099,760-17 / CAR TOY / TOYS SPARE ACCESSORIESGLASS ACCESSORIES OF NON ELECTRIC TOYS,1800,China,India
95030099,760-17 / CAR TOY / TOYS SPARE ACCESSORIESUBBASE PARTS ACCESSORIES OF NON ELECTRIC TOYS,1800,China,India
95030099,760-17 / CAR TOY / TOYS SPARE ACCESSORIESSCREW ACCESSORIES OF NON ELECTRIC TOYS,57600,China,India
95030099,760-17 / CAR TOY / TOYS SPARE ACCESSORIESUBBASE PARTS ACCESSORIES OF NON ELECTRIC TOYS,1800,China,India
87038030,MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ06R2U31428:ENG NO:F180A946:NEW MOTOR CAR,1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ06R2U35849,ENG NO:F140A955,NEW MOTOR CAR",1,United Kingdom,India
87038030,MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ03P2U25163:ENG NO:F188A938:NEW MOTOR CAR,1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ02R2U35928,ENG NO:F098A951,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ0XR2U36275,ENG NO:F047A954,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ00R2U35703,ENG NO:F004A952,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ08R2U36551,ENG NO:F127A952,NEW MOTOR CAR",1,United Kingdom,India
87038030,"MINI COOPER SE HATCH RHD ELECTRIC VEHICLE VIN NO:WMW12DJ00R2U35748,ENG NO:F151A951,NEW MOTOR CAR",1,United Kingdom,India
